0.0	0	0	0
0.1097556941	-4.04443937699892e-09	-2.54397486725801e-08	-4.43928465248551e-13
0.2195113882	4.47279827348827e-09	2.15719462491295e-09	-3.86351866282964e-13
0.3292670823	4.69925936857525e-09	-4.57658142657311e-10	-5.33585828413751e-13
0.4390227764	2.97927545852915e-09	5.29892281923293e-10	-7.38085731095652e-13
0.5487784705	3.7241157383606e-09	4.18537590851667e-10	-9.47376474809373e-13
0.6585341646	3.97054183623643e-09	1.04060288118375e-09	-1.1711306542797e-12
0.7682898587	6.68335702471619e-09	1.0248344893669e-09	-1.4060523544935e-12
0.8780455528	7.80423275370956e-09	2.70425606604196e-09	-1.63501587044009e-12
0.9878012468999999	9.59297108880914e-09	7.60967322859805e-09	-1.85811760972876e-12
1.097556941	1.17784921351517e-08	1.00339636742281e-08	-2.06934128928763e-12
1.2073126350999999	1.4621696293145e-08	1.17165617795719e-08	-2.26868334922493e-12
1.3170683292	1.73838461996241e-08	1.65832384876452e-08	-2.45808317144205e-12
1.4268240233	1.91648575780279e-08	1.99328283542067e-08	-2.63258265145683e-12
1.5365797174	2.1835129553035e-08	2.32740438550695e-08	-2.79540350401047e-12
1.6463354115	2.45526460878112e-08	2.72728868515177e-08	-2.95832369670043e-12
1.7560911056	2.64577714387056e-08	3.11895306346838e-08	-3.11174742097644e-12
1.8658467997	2.85609440846729e-08	3.44420564384484e-08	-3.2365354515515e-12
1.9756024937999999	3.11541006619091e-08	3.7914457070627e-08	-3.33805441174897e-12
2.0853581879	3.31187421895849e-08	4.12770103084003e-08	-3.41683149577786e-12
2.195113882	3.50874101821349e-08	4.42545947302252e-08	-3.48799555050729e-12
2.3048695760999998	3.71978407538442e-08	4.72278276642999e-08	-3.54165854191706e-12
2.4146252701999997	3.89654161394704e-08	5.02448022235153e-08	-3.57407099604978e-12
2.5243809642999997	4.07697416446811e-08	5.29581645099893e-08	-3.57558646073494e-12
2.6341366584	4.26245202171685e-08	5.56203297812259e-08	-3.55070902744382e-12
2.7438923525	4.45249958899144e-08	5.82885045732724e-08	-3.52082558766398e-12
2.8536480466	4.65513594484711e-08	6.06960534732722e-08	-3.47805195194402e-12
2.9634037407	4.85431250601295e-08	6.30030918202192e-08	-3.4150589207222e-12
3.0731594348	5.05272625164462e-08	6.51814749649129e-08	-3.33268241066336e-12
3.1829151289	5.25437807300135e-08	6.72117144729138e-08	-3.21350921487382e-12
3.292670823	5.44823441452961e-08	6.93307058180492e-08	-3.03933566324862e-12
3.4024265171	5.64209008921536e-08	7.14044494816745e-08	-2.83819169011662e-12
